Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Reginald Renatus Waterfall NeoWilliams ::: (English) king's advisor, (Italian) reborn, (American) waterfall, (American) new Williams
Reginald Fileas Emeterio Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) he who deserves affection, (Scottish) black brook
Maro Reginald Androcles Zoyamor ::: (Japanese) myself, (English) king's advisor, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Maro Percival Quigley NeoWilliams ::: (Japanese) myself, (French) pierce the valley, (Irish) maternal side, (American) new Williams
Maro Reginald Quigley Zoyamor ::: (Japanese) myself, (English) king's advisor, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Waterfall Wright ::: (Japanese) myself, (American) waterfall, (English) maker
Maro Yorick Hodgson Wright ::: (Japanese) myself, (Scandinavian) a form of George, (English) son of Roger, (English) maker
Maro Quigley Renatus Darwin ::: (Japanese) myself, (Irish) maternal side, (Italian) reborn, (English) dear friend
Zoyamor Fileas Phoenix Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) phoenix, (French) merry lord; jailer
Zoyamor Androcles Reginald Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) king's advisor, (French) merry lord; jailer
Zoyamor Renatus Percival NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (French) pierce the valley, (American) new Williams
Maro Androcles Darwin ::: (Japanese) myself, (Greek) man covered with glory, (English) dear friend
Zoyamor Philander Fileas Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) he who loves deeply, (Scottish) black brook
Reginald Herodes Felix Gaylord ::: (English) king's advisor, (Greek) the fire dragon, (Latin) fortunate; happy, (French) merry lord; jailer
Reginald Renatus Waterfall ::: (English) king's advisor, (Italian) reborn, (American) waterfall
Reginald Androcles Renatus NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Italian) reborn, (American) new Williams
Reginald Emeterio Yorick NeoWilliams ::: (English) king's advisor, (Greek) he who deserves affection, (Scandinavian) a form of George, (American) new Williams
Maro Zoyamor Herodes Waterfall ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (American) waterfall
Zoyamor Reginald Yorick Darwin ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Scandinavian) a form of George, (English) dear friend
Zoyamor Androcles Maro Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Japanese) myself, (English) son of Roger
Maro Androcles Darwin NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (English) dear friend, (American) new Williams
Zoyamor Maro Yorick Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Scandinavian) a form of George, (Scottish) black brook
Maro Renatus Herodes Blackburn ::: (Japanese) myself, (Italian) reborn, (Greek) the fire dragon, (Scottish) black brook
Maro Felix Quigley Wright ::: (Japanese) myself, (Latin) fortunate; happy, (Irish) maternal side, (English) maker
Zoyamor Phoenix Reginald NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (English) king's advisor, (American) new Williams
Maro Phoenix Hodgson ::: (Japanese) myself, (English) phoenix, (English) son of Roger
Maro Percival Felix Gaylord ::: (Japanese) myself, (French) pierce the valley, (Latin) fortunate; happy, (French) merry lord; jailer
Zoyamor Phoenix NeoWilliams Darwin ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (American) new Williams, (English) dear friend
Zoyamor Bonito Felix Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Latin) fortunate; happy, (English) son of Roger
Reginald Phoenix Felix Wright ::: (English) king's advisor, (English) phoenix, (Latin) fortunate; happy, (English) maker
Reginald Percival Fileas Waterfall ::: (English) king's advisor, (French) pierce the valley, (Greek) he who loves deeply, (American) waterfall
Maro Yorick Androcles NeoWilliams ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) man covered with glory, (American) new Williams
Zoyamor Maro Phoenix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) phoenix, (Scottish) black brook
Maro Yorick NeoWilliams ::: (Japanese) myself, (Scandinavian) a form of George, (American) new Williams
Reginald Emeterio Phoenix Gaylord ::: (English) king's advisor, (Greek) he who deserves affection, (English) phoenix, (French) merry lord; jailer
Reginald Quigley Darwin Wright ::: (English) king's advisor, (Irish) maternal side, (English) dear friend, (English) maker
Reginald Felix Zoyamor Waterfall ::: (English) king's advisor, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings, (American) waterfall
Maro Herodes Felix Blackburn ::: (Japanese) myself, (Greek) the fire dragon, (Latin) fortunate; happy, (Scottish) black brook
Maro Phoenix Percival Darwin ::: (Japanese) myself, (English) phoenix, (French) pierce the valley, (English) dear friend
Reginald Herodes Darwin Gaylord ::: (English) king's advisor, (Greek) the fire dragon, (English) dear friend, (French) merry lord; jailer
Zoyamor Bonito Maro Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Japanese) myself, (English) maker
Reginald Felix Fileas Zoyamor ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings
Reginald Yorick Zoyamor Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Reginald Felix Percival NeoWilliams ::: (English) king's advisor, (Latin) fortunate; happy, (French) pierce the valley, (American) new Williams
Zoyamor Maro Felix Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) fortunate; happy, (English) dear friend
Reginald Zoyamor NeoWilliams Hodgson ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (American) new Williams, (English) son of Roger
Reginald Percival Yorick Wright ::: (English) king's advisor, (French) pierce the valley, (Scandinavian) a form of George, (English) maker
Maro Androcles Waterfall Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (American) waterfall, (English) son of Roger
Reginald Felix Darwin Gaylord ::: (English) king's advisor, (Latin) fortunate; happy, (English) dear friend, (French) merry lord; jailer
Zoyamor Yorick Gaylord Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (French) merry lord; jailer, (English) son of Roger
Reginald Fileas Philander Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) lover of mankind, (English) son of Roger
Zoyamor Reginald Phoenix Waterfall ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (English) phoenix, (American) waterfall
Maro Renatus Waterfall Zoyamor ::: (Japanese) myself, (Italian) reborn, (American) waterfall, (Greek/Latin/me) lover of all living beings
Reginald Quigley Maro Blackburn ::: (English) king's advisor, (Irish) maternal side, (Japanese) myself, (Scottish) black brook
Reginald Maro Gaylord ::: (English) king's advisor, (Japanese) myself, (French) merry lord; jailer
Zoyamor Philander Emeterio Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) he who deserves affection, (English) maker
Reginald Phoenix Hodgson Blackburn ::: (English) king's advisor, (English) phoenix, (English) son of Roger, (Scottish) black brook
Zoyamor Bonito Reginald Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (English) king's advisor, (French) merry lord; jailer
Zoyamor Androcles Percival Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (French) pierce the valley, (French) merry lord; jailer
Zoyamor Renatus Felix Gaylord ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Latin) fortunate; happy, (French) merry lord; jailer
Maro Phoenix Felix Gaylord ::: (Japanese) myself, (English) phoenix, (Latin) fortunate; happy, (French) merry lord; jailer
Maro Herodes Waterfall Blackburn ::: (Japanese) myself, (Greek) the fire dragon, (American) waterfall, (Scottish) black brook
Maro Bonito Felix Waterfall ::: (Japanese) myself, (Latin) worthy, (Latin) fortunate; happy, (American) waterfall
Zoyamor Quigley NeoWilliams Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (American) new Williams, (English) son of Roger
Maro Reginald Waterfall Blackburn ::: (Japanese) myself, (English) king's advisor, (American) waterfall, (Scottish) black brook
Zoyamor Yorick Felix Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Latin) fortunate; happy, (English) son of Roger
Maro Philander Reginald Hodgson ::: (Japanese) myself, (Greek) lover of mankind, (English) king's advisor, (English) son of Roger
Reginald Renatus Herodes Zoyamor ::: (English) king's advisor, (Italian) reborn, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings
Maro Quigley Percival Waterfall ::: (Japanese) myself, (Irish) maternal side, (French) pierce the valley, (American) waterfall
Zoyamor Percival Gaylord NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (French) merry lord; jailer, (American) new Williams
Reginald Androcles Felix Gaylord ::: (English) king's advisor, (Greek) man covered with glory, (Latin) fortunate; happy, (French) merry lord; jailer
Maro Quigley Fileas Wright ::: (Japanese) myself, (Irish) maternal side, (Greek) he who loves deeply, (English) maker
Maro Percival Felix Wright ::: (Japanese) myself, (French) pierce the valley, (Latin) fortunate; happy, (English) maker
Reginald Bonito Phoenix Hodgson ::: (English) king's advisor, (Latin) worthy, (English) phoenix, (English) son of Roger
Zoyamor Percival Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) worthy, (American) new Williams
Reginald Philander NeoWilliams ::: (English) king's advisor, (Greek) lover of mankind, (American) new Williams
Maro Philander Felix Zoyamor ::: (Japanese) myself, (Greek) lover of mankind, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Reginald Phoenix Androcles Hodgson ::: (English) king's advisor, (English) phoenix, (Greek) man covered with glory, (English) son of Roger
Zoyamor Androcles Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Greek) the fire dragon, (American) new Williams
Maro Quigley Renatus Zoyamor ::: (Japanese) myself, (Irish) maternal side, (Italian) reborn, (Greek/Latin/me) lover of all living beings
Zoyamor Quigley Reginald Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) king's advisor, (English) son of Roger
Reginald Renatus Herodes Wright ::: (English) king's advisor, (Italian) reborn, (Greek) the fire dragon, (English) maker
Maro Herodes NeoWilliams Gaylord ::: (Japanese) myself, (Greek) the fire dragon, (American) new Williams, (French) merry lord; jailer
Maro Felix Percival NeoWilliams ::: (Japanese) myself, (Latin) fortunate; happy, (French) pierce the valley, (American) new Williams
Zoyamor Yorick Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Latin) worthy, (American) new Williams
Maro Renatus Bonito Blackburn ::: (Japanese) myself, (Italian) reborn, (Latin) worthy, (Scottish) black brook
Reginald Waterfall Androcles NeoWilliams ::: (English) king's advisor, (American) waterfall, (Greek) man covered with glory, (American) new Williams
Zoyamor Androcles Gaylord NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (French) merry lord; jailer, (American) new Williams
Maro Quigley NeoWilliams ::: (Japanese) myself, (Irish) maternal side, (American) new Williams
Reginald Fileas Herodes Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) the fire dragon, (English) son of Roger
Zoyamor Fileas Yorick Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scandinavian) a form of George, (American) waterfall
Zoyamor Fileas Emeterio Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) he who deserves affection, (Scottish) black brook
Reginald Maro NeoWilliams Wright ::: (English) king's advisor, (Japanese) myself, (American) new Williams, (English) maker
Maro Yorick Reginald Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (English) king's advisor, (Scottish) black brook
Reginald Quigley Maro Gaylord ::: (English) king's advisor, (Irish) maternal side, (Japanese) myself, (French) merry lord; jailer
Reginald Yorick Renatus NeoWilliams ::: (English) king's advisor, (Scandinavian) a form of George, (Italian) reborn, (American) new Williams
Zoyamor Androcles Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (French) merry lord; jailer
Zoyamor Philander Wright Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) maker, (English) dear friend
Zoyamor Emeterio Fileas Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) he who loves deeply, (English) son of Roger
Maro Emeterio Herodes Waterfall ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) the fire dragon, (American) waterfall
Maro Renatus Wright NeoWilliams ::: (Japanese) myself, (Italian) reborn, (English) maker, (American) new Williams
Reginald Philander Quigley Darwin ::: (English) king's advisor, (Greek) lover of mankind, (Irish) maternal side, (English) dear friend
Reginald Philander Darwin ::: (English) king's advisor, (Greek) lover of mankind, (English) dear friend
Zoyamor Maro Fileas Hodgson ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) he who loves deeply, (English) son of Roger
Maro Reginald Philander Waterfall ::: (Japanese) myself, (English) king's advisor, (Greek) lover of mankind, (American) waterfall
Zoyamor Percival Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) dear friend, (American) new Williams
Reginald Renatus Philander Blackburn ::: (English) king's advisor, (Italian) reborn, (Greek) lover of mankind, (Scottish) black brook
Zoyamor Androcles Phoenix NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) phoenix, (American) new Williams
Reginald Bonito Waterfall Zoyamor ::: (English) king's advisor, (Latin) worthy, (American) waterfall, (Greek/Latin/me) lover of all living beings
Reginald Bonito Gaylord NeoWilliams ::: (English) king's advisor, (Latin) worthy, (French) merry lord; jailer, (American) new Williams
Maro Reginald Herodes NeoWilliams ::: (Japanese) myself, (English) king's advisor, (Greek) the fire dragon, (American) new Williams
Maro Philander Blackburn Hodgson ::: (Japanese) myself, (Greek) lover of mankind, (Scottish) black brook, (English) son of Roger
Maro Philander Fileas Darwin ::: (Japanese) myself, (Greek) lover of mankind, (Greek) he who loves deeply, (English) dear friend
Maro Felix Philander Gaylord ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) lover of mankind, (French) merry lord; jailer
Reginald Waterfall Philander NeoWilliams ::: (English) king's advisor, (American) waterfall, (Greek) lover of mankind, (American) new Williams
Maro Emeterio Philander Darwin ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) lover of mankind, (English) dear friend
Reginald Maro Yorick Darwin ::: (English) king's advisor, (Japanese) myself, (Scandinavian) a form of George, (English) dear friend
Maro Androcles Fileas NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Zoyamor Yorick Percival NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (French) pierce the valley, (American) new Williams
Zoyamor Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (French) merry lord; jailer
Maro Zoyamor Androcles Waterfall ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (American) waterfall
Maro Androcles Percival Darwin ::: (Japanese) myself, (Greek) man covered with glory, (French) pierce the valley, (English) dear friend
Maro Fileas Hodgson ::: (Japanese) myself, (Greek) he who loves deeply, (English) son of Roger
Reginald Percival Emeterio Gaylord ::: (English) king's advisor, (French) pierce the valley, (Greek) he who deserves affection, (French) merry lord; jailer
Maro Felix Percival Gaylord ::: (Japanese) myself, (Latin) fortunate; happy, (French) pierce the valley, (French) merry lord; jailer
Maro Phoenix Fileas Blackburn ::: (Japanese) myself, (English) phoenix, (Greek) he who loves deeply, (Scottish) black brook
Reginald Herodes Felix Blackburn ::: (English) king's advisor, (Greek) the fire dragon, (Latin) fortunate; happy, (Scottish) black brook
Zoyamor Phoenix Wright Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (English) maker, (French) merry lord; jailer
Reginald Renatus NeoWilliams Hodgson ::: (English) king's advisor, (Italian) reborn, (American) new Williams, (English) son of Roger
Reginald Waterfall Maro Darwin ::: (English) king's advisor, (American) waterfall, (Japanese) myself, (English) dear friend
Maro Renatus Phoenix Gaylord ::: (Japanese) myself, (Italian) reborn, (English) phoenix, (French) merry lord; jailer
Reginald Zoyamor Darwin NeoWilliams ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (English) dear friend, (American) new Williams
Zoyamor Reginald Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Latin) fortunate; happy, (Scottish) black brook
Zoyamor Herodes Waterfall Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (American) waterfall, (English) maker
Reginald Renatus Phoenix Zoyamor ::: (English) king's advisor, (Italian) reborn, (English) phoenix, (Greek/Latin/me) lover of all living beings
Zoyamor Maro Reginald Wright ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) king's advisor, (English) maker
Maro Renatus Felix Gaylord ::: (Japanese) myself, (Italian) reborn, (Latin) fortunate; happy, (French) merry lord; jailer
Reginald Zoyamor Bonito Darwin ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Latin) worthy, (English) dear friend
Reginald Androcles Zoyamor Blackburn ::: (English) king's advisor, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Zoyamor Bonito Gaylord Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (French) merry lord; jailer, (English) dear friend
Maro Yorick Emeterio Gaylord ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) he who deserves affection, (French) merry lord; jailer
Zoyamor Phoenix Blackburn Darwin ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Scottish) black brook, (English) dear friend
Zoyamor Herodes Emeterio Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Greek) he who deserves affection, (Scottish) black brook
Zoyamor Felix Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) dear friend, (American) new Williams
Reginald Emeterio Darwin Blackburn ::: (English) king's advisor, (Greek) he who deserves affection, (English) dear friend, (Scottish) black brook
Reginald Waterfall Felix Hodgson ::: (English) king's advisor, (American) waterfall, (Latin) fortunate; happy, (English) son of Roger
Reginald Emeterio Renatus Gaylord ::: (English) king's advisor, (Greek) he who deserves affection, (Italian) reborn, (French) merry lord; jailer
Maro Reginald Philander Gaylord ::: (Japanese) myself, (English) king's advisor, (Greek) lover of mankind, (French) merry lord; jailer
Maro Androcles Wright Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (English) maker, (English) son of Roger
Maro Yorick Gaylord ::: (Japanese) myself, (Scandinavian) a form of George, (French) merry lord; jailer
Reginald Androcles Phoenix Blackburn ::: (English) king's advisor, (Greek) man covered with glory, (English) phoenix, (Scottish) black brook
Maro Percival Emeterio Zoyamor ::: (Japanese) myself, (French) pierce the valley, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Zoyamor Percival Felix Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) fortunate; happy, (American) waterfall
Maro Felix Gaylord Wright ::: (Japanese) myself, (Latin) fortunate; happy, (French) merry lord; jailer, (English) maker
Maro Emeterio Herodes Zoyamor ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings
Maro Philander Yorick Darwin ::: (Japanese) myself, (Greek) lover of mankind, (Scandinavian) a form of George, (English) dear friend
Reginald Maro Bonito Hodgson ::: (English) king's advisor, (Japanese) myself, (Latin) worthy, (English) son of Roger
Reginald Felix Fileas Blackburn ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) he who loves deeply, (Scottish) black brook
Maro Herodes Zoyamor Hodgson ::: (Japanese) myself, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Maro Renatus Gaylord Wright ::: (Japanese) myself, (Italian) reborn, (French) merry lord; jailer, (English) maker
Maro Waterfall Renatus Darwin ::: (Japanese) myself, (American) waterfall, (Italian) reborn, (English) dear friend
Zoyamor Herodes Wright Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (English) maker, (French) merry lord; jailer
Zoyamor Felix Waterfall Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (American) waterfall, (English) dear friend
Maro Felix Herodes Wright ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) the fire dragon, (English) maker
Reginald Fileas Waterfall Gaylord ::: (English) king's advisor, (Greek) he who loves deeply, (American) waterfall, (French) merry lord; jailer
Reginald Fileas Wright ::: (English) king's advisor, (Greek) he who loves deeply, (English) maker
Zoyamor Waterfall Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (French) merry lord; jailer, (English) maker
Reginald Maro Zoyamor Blackburn ::: (English) king's advisor, (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Zoyamor Maro Blackburn Gaylord ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Scottish) black brook, (French) merry lord; jailer
Maro Fileas Herodes Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) the fire dragon, (Scottish) black brook
Maro Waterfall Hodgson Wright ::: (Japanese) myself, (American) waterfall, (English) son of Roger, (English) maker
Maro Waterfall Emeterio Blackburn ::: (Japanese) myself, (American) waterfall, (Greek) he who deserves affection, (Scottish) black brook
Reginald Bonito Phoenix Zoyamor ::: (English) king's advisor, (Latin) worthy, (English) phoenix, (Greek/Latin/me) lover of all living beings
Maro Reginald Fileas Gaylord ::: (Japanese) myself, (English) king's advisor, (Greek) he who loves deeply, (French) merry lord; jailer
Zoyamor Renatus Fileas Darwin ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) he who loves deeply, (English) dear friend
Zoyamor Philander Gaylord Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (French) merry lord; jailer, (Scottish) black brook
Zoyamor Herodes Renatus Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Italian) reborn, (Scottish) black brook
Maro Bonito Herodes Wright ::: (Japanese) myself, (Latin) worthy, (Greek) the fire dragon, (English) maker
Reginald Percival Fileas NeoWilliams ::: (English) king's advisor, (French) pierce the valley, (Greek) he who loves deeply, (American) new Williams
Maro Renatus Hodgson Blackburn ::: (Japanese) myself, (Italian) reborn, (English) son of Roger, (Scottish) black brook
Reginald Felix Renatus Waterfall ::: (English) king's advisor, (Latin) fortunate; happy, (Italian) reborn, (American) waterfall
Zoyamor Emeterio Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) the fire dragon, (American) new Williams
Reginald Emeterio Quigley Hodgson ::: (English) king's advisor, (Greek) he who deserves affection, (Irish) maternal side, (English) son of Roger
Reginald Renatus Phoenix Blackburn ::: (English) king's advisor, (Italian) reborn, (English) phoenix, (Scottish) black brook
Zoyamor Bonito Quigley Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Irish) maternal side, (English) maker
Reginald Yorick Darwin ::: (English) king's advisor, (Scandinavian) a form of George, (English) dear friend
Maro Fileas Waterfall ::: (Japanese) myself, (Greek) he who loves deeply, (American) waterfall
Maro Bonito Waterfall NeoWilliams ::: (Japanese) myself, (Latin) worthy, (American) waterfall, (American) new Williams
Maro Phoenix Herodes Darwin ::: (Japanese) myself, (English) phoenix, (Greek) the fire dragon, (English) dear friend
Zoyamor Fileas Emeterio Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) he who deserves affection, (English) son of Roger
Reginald Fileas Hodgson Darwin ::: (English) king's advisor, (Greek) he who loves deeply, (English) son of Roger, (English) dear friend
Zoyamor Renatus Philander Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) lover of mankind, (English) maker
Zoyamor Renatus Maro Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Japanese) myself, (English) maker
Reginald Phoenix Bonito Blackburn ::: (English) king's advisor, (English) phoenix, (Latin) worthy, (Scottish) black brook
Maro Zoyamor Renatus Hodgson ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) son of Roger
Zoyamor Bonito Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Latin) fortunate; happy, (Scottish) black brook
Zoyamor Quigley Philander Blackburn ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) lover of mankind, (Scottish) black brook
Maro Phoenix Herodes NeoWilliams ::: (Japanese) myself, (English) phoenix, (Greek) the fire dragon, (American) new Williams
Reginald Renatus Blackburn Hodgson ::: (English) king's advisor, (Italian) reborn, (Scottish) black brook, (English) son of Roger
Reginald Percival Yorick Gaylord ::: (English) king's advisor, (French) pierce the valley, (Scandinavian) a form of George, (French) merry lord; jailer
Maro Androcles Emeterio Darwin ::: (Japanese) myself, (Greek) man covered with glory, (Greek) he who deserves affection, (English) dear friend
Zoyamor Yorick NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (American) new Williams
Maro Felix Yorick NeoWilliams ::: (Japanese) myself, (Latin) fortunate; happy, (Scandinavian) a form of George, (American) new Williams
Reginald Felix Wright Darwin ::: (English) king's advisor, (Latin) fortunate; happy, (English) maker, (English) dear friend
Maro Phoenix Bonito NeoWilliams ::: (Japanese) myself, (English) phoenix, (Latin) worthy, (American) new Williams
Reginald Bonito Zoyamor Hodgson ::: (English) king's advisor, (Latin) worthy, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Zoyamor Bonito Androcles Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) man covered with glory, (English) dear friend
Maro Felix Yorick Waterfall ::: (Japanese) myself, (Latin) fortunate; happy, (Scandinavian) a form of George, (American) waterfall
Zoyamor Androcles Hodgson Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) son of Roger, (French) merry lord; jailer
Reginald Percival Androcles Hodgson ::: (English) king's advisor, (French) pierce the valley, (Greek) man covered with glory, (English) son of Roger
Reginald Percival Philander Blackburn ::: (English) king's advisor, (French) pierce the valley, (Greek) lover of mankind, (Scottish) black brook
Reginald Yorick Fileas Wright ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) he who loves deeply, (English) maker
Reginald Philander Waterfall Gaylord ::: (English) king's advisor, (Greek) lover of mankind, (American) waterfall, (French) merry lord; jailer
Maro Reginald Bonito Blackburn ::: (Japanese) myself, (English) king's advisor, (Latin) worthy, (Scottish) black brook
Reginald Quigley Blackburn Gaylord ::: (English) king's advisor, (Irish) maternal side, (Scottish) black brook, (French) merry lord; jailer
Reginald Percival Felix Gaylord ::: (English) king's advisor, (French) pierce the valley, (Latin) fortunate; happy, (French) merry lord; jailer
Reginald Androcles Hodgson NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (English) son of Roger, (American) new Williams
Maro Emeterio Hodgson NeoWilliams ::: (Japanese) myself, (Greek) he who deserves affection, (English) son of Roger, (American) new Williams
Reginald Quigley Fileas Waterfall ::: (English) king's advisor, (Irish) maternal side, (Greek) he who loves deeply, (American) waterfall
Maro Percival Darwin Wright ::: (Japanese) myself, (French) pierce the valley, (English) dear friend, (English) maker
Reginald Percival Bonito Hodgson ::: (English) king's advisor, (French) pierce the valley, (Latin) worthy, (English) son of Roger
Reginald Waterfall Philander Hodgson ::: (English) king's advisor, (American) waterfall, (Greek) lover of mankind, (English) son of Roger
Reginald Zoyamor Emeterio Gaylord ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) merry lord; jailer
